m;type;squareMeters;rooms;floor;floorCount;buildYear;latitude;longitude;centreDistance;poiCount;schoolDistance;clinicDistance;postOfficeDistance;kindergartenDistance;restaurantDistance;collegeDistance;pharmacyDistance;ownership;buildingMaterial;condition;hasParkingSpace;hasBalcony;hasElevator;hasSecurity;hasStorageRoom;price
szczecin;apartmentBuilding;105.0;4.0;3.0;4.0;2016.0;53.43150295;14.4858204;05.cze;1.0;01.sie;0.949;0.623;0.791;1.054;3.062;0.335;condominium;brick;premium;no;yes;yes;no;no;1199999
szczecin;blockOfFlats;94.4;4.0;4.0;5.0;;53.441253;14.51103016;mar.86;7.0;0.439;0.343;0.058;0.532;0.624;1.312;0.051;condominium;brick;premium;yes;yes;no;no;yes;1150000
szczecin;;48.29;2.0;8.0;11.0;2014.0;53.399444;14.526111;mar.53;8.0;0.109;1.004;0.153;0.178;0.166;2.296;0.141;condominium;;;yes;yes;yes;no;yes;625000
szczecin;blockOfFlats;68.61;3.0;4.0;4.0;1997.0;53.4562131879767;14.5832223504052;mar.94;7.0;0.139;1.336;0.926;0.93;0.071;0.786;0.304;condominium;brick;;no;yes;no;no;yes;550000
szczecin;tenement;35.92;2.0;;;;53.4242027600063;14.5435501300166;sty.16;34.0;0.217;0.374;0.145;0.252;0.201;0.578;0.329;condominium;brick;low;yes;no;no;no;no;299000
szczecin;blockOfFlats;81.0;4.0;4.0;4.0;1989.0;53.45416667;14.52944444;04.sty;9.0;0.061;0.245;0.413;0.223;0.498;1.322;0.348;cooperative;brick;premium;yes;no;no;no;yes;729000
szczecin;blockOfFlats;42.0;2.0;1.0;3.0;;53.46805556;14.53833333;maj.19;9.0;0.209;1.533;0.201;0.319;0.157;2.722;0.257;condominium;;;no;yes;no;no;no;584999
szczecin;tenement;89.8;3.0;3.0;3.0;1930.0;53.4314192;14.5342442;sty.98;36.0;0.158;0.554;0.233;0.379;0.143;0.547;0.184;condominium;brick;;no;yes;no;no;yes;649000
szczecin;;58.6;2.0;;4.0;;53.4527742;14.4779792;cze.39;4.0;0.24;02.lut;0.962;0.765;0.286;3.684;0.239;cooperative;brick;;no;no;no;no;no;459000
szczecin;blockOfFlats;55.04;3.0;2.0;3.0;2013.0;53.468905;14.5649832;05.lip;0.0;0.826;1.701;1.089;0.742;1.008;1.129;1.052;condominium;brick;premium;yes;yes;no;no;no;649000
szczecin;blockOfFlats;75.77;3.0;1.0;1.0;1895.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;premium;no;no;no;no;yes;499000
szczecin;tenement;43.32;2.0;4.0;4.0;1930.0;53.4214955;14.5475511;0.91;24.0;0.075;0.169;0.403;0.302;0.216;0.92;0.179;condominium;brick;;no;no;no;no;yes;330000
szczecin;blockOfFlats;63.56;4.0;2.0;4.0;1980.0;53.4021;14.4987;kwi.76;4.0;1.063;2.163;0.407;1.472;0.45;lut.94;0.228;condominium;concreteSlab;;yes;yes;no;no;yes;519000
szczecin;blockOfFlats;68.94;3.0;3.0;4.0;1950.0;53.41472457;14.52963352;lut.29;8.0;0.371;0.592;0.213;0.222;0.24;0.583;0.721;condominium;brick;low;no;yes;no;no;yes;560000
szczecin;blockOfFlats;53.26;2.0;7.0;11.0;1985.0;53.4570049;14.4934449;maj.83;10.0;0.485;1.842;0.229;0.254;0.754;2.963;0.204;cooperative;concreteSlab;;no;yes;no;no;yes;514000
szczecin;blockOfFlats;50.2;2.0;3.0;4.0;1994.0;53.3963082;14.6720877;lip.96;12.0;0.22;2.292;0.168;0.114;0.076;;0.184;cooperative;brick;low;no;yes;no;no;yes;455000
