m;type;squareMeters;rooms;floor;floorCount;buildYear;latitude;longitude;centreDistance;poiCount;schoolDistance;clinicDistance;postOfficeDistance;kindergartenDistance;restaurantDistance;collegeDistance;pharmacyDistance;ownership;buildingMaterial;condition;hasParkingSpace;hasBalcony;hasElevator;hasSecurity;hasStorageRoom;price
szczecin;blockOfFlats;34.0;1.0;2.0;3.0;;53.3940023;14.5239882;04.wrz;4.0;0.572;1.625;0.469;0.456;0.476;2.916;0.481;condominium;;premium;no;yes;no;no;yes;1700
szczecin;apartmentBuilding;39.0;2.0;5.0;7.0;2022.0;53.4046460857892;14.492032662927;05.lut;2.0;0.976;2.157;0.478;1.309;0.377;3.119;0.546;condominium;brick;premium;yes;yes;yes;no;no;3400
szczecin;apartmentBuilding;47.0;2.0;4.0;12.0;2016.0;53.4382307881032;14.5620270887835;sty.65;19.0;0.231;0.564;0.436;0.255;0.187;0.988;0.331;condominium;brick;premium;yes;yes;yes;yes;yes;2700
szczecin;blockOfFlats;28.0;1.0;4.0;4.0;2017.0;53.4294606;14.5520172;0.9;69.0;0.252;0.297;0.341;0.149;0.049;0.565;0.137;condominium;brick;premium;no;no;yes;no;no;2300
szczecin;blockOfFlats;46.7;2.0;3.0;3.0;1996.0;53.4508;14.5567;03.cze;8.0;0.095;0.533;0.508;0.153;0.434;1.894;0.271;condominium;;;yes;yes;no;no;no;1850
szczecin;blockOfFlats;47.55;2.0;;10.0;1972.0;53.4342;14.5591;sty.21;25.0;0.288;0.28;0.252;0.315;0.241;0.565;0.19;condominium;;;yes;no;yes;no;no;2150
szczecin;;71.0;3.0;1.0;2.0;;53.46329566;14.55364466;kwi.46;2.0;0.998;1.249;0.825;0.675;0.728;1.644;0.091;condominium;;;no;yes;no;no;no;2500
szczecin;apartmentBuilding;47.0;2.0;;4.0;2020.0;53.4224;14.5239;lut.46;5.0;0.424;0.466;0.701;0.972;0.413;0.585;0.107;condominium;brick;premium;yes;yes;yes;no;no;2700
szczecin;tenement;51.92;3.0;4.0;4.0;1930.0;53.43164875;14.54635994;sty.33;80.0;0.327;0.417;0.25;0.428;0.055;0.314;0.05;condominium;brick;premium;no;no;;no;no;2300
szczecin;apartmentBuilding;58.66;2.0;3.0;3.0;2022.0;53.42403815;14.56129944;0.07;51.0;0.168;0.795;0.514;0.21;0.029;0.591;0.39;condominium;brick;premium;no;no;yes;no;no;3500
szczecin;blockOfFlats;47.1;2.0;;4.0;1980.0;53.3944303;14.5216343;kwi.14;3.0;0.544;1.623;0.491;0.494;0.469;2.901;0.502;condominium;concreteSlab;premium;no;no;;no;no;2500
szczecin;apartmentBuilding;65.0;2.0;3.0;3.0;2009.0;53.4502122;14.4983758;05.lis;13.0;0.142;1.022;0.129;0.524;0.069;2.318;0.108;condominium;brick;premium;yes;no;yes;no;yes;2500
szczecin;;35.7;2.0;;3.0;;53.4782809;14.5408938;cze.25;2.0;1.336;lut.68;1.045;0.643;0.477;3.031;0.411;condominium;;;no;no;yes;yes;no;2400
szczecin;blockOfFlats;48.35;2.0;1.0;4.0;2009.0;53.4596511;14.5524387;04.lip;3.0;1.079;0.98;0.802;0.352;0.592;1.755;0.295;condominium;brick;premium;yes;yes;yes;no;no;2250
szczecin;blockOfFlats;47.5;2.0;10.0;10.0;2016.0;53.4328737;14.5129678;mar.35;16.0;0.203;1.138;0.14;0.228;0.162;1.299;0.019;condominium;;premium;no;yes;yes;no;no;3000
szczecin;;38.0;2.0;5.0;6.0;;53.4187193;14.5445331;sty.21;9.0;0.233;0.479;0.55;0.592;0.366;0.866;0.335;condominium;;;no;yes;yes;yes;no;2700
szczecin;blockOfFlats;47.68;2.0;1.0;4.0;1940.0;53.4482417;14.5453915;lut.95;11.0;0.182;0.941;0.257;0.334;0.439;1.172;0.305;condominium;brick;premium;no;no;;no;no;2200
szczecin;apartmentBuilding;64.0;3.0;;3.0;2010.0;53.4365834;14.50883406;mar.75;6.0;0.428;0.657;0.491;0.066;0.64;1.466;0.48;condominium;brick;premium;yes;no;no;no;no;3900
szczecin;;38.0;2.0;1.0;6.0;;53.4215822;14.5415725;01.mar;16.0;0.081;0.565;0.223;0.482;0.151;0.689;0.192;condominium;;;no;no;yes;no;no;2600
szczecin;blockOfFlats;35.0;2.0;;3.0;2018.0;53.3962041;14.495055;maj.31;3.0;1.753;2.655;0.088;1.855;0.15;3.574;0.49;condominium;;;no;no;no;no;no;2200
szczecin;apartmentBuilding;28.16;1.0;2.0;4.0;2023.0;53.418611;14.549722;0.92;11.0;0.371;0.319;0.225;0.63;0.323;1.208;0.359;condominium;brick;premium;no;yes;yes;no;no;2300
szczecin;;53.4;4.0;4.0;4.0;;53.44545;14.55238;lut.52;15.0;0.247;0.493;0.418;0.458;0.141;1.242;0.022;condominium;;;no;no;;no;no;3200
szczecin;apartmentBuilding;39.0;2.0;4.0;4.0;2011.0;53.4299;14.535;sty.87;39.0;0.145;0.711;0.216;0.309;0.288;0.565;0.033;condominium;brick;;yes;no;yes;no;no;2300
szczecin;blockOfFlats;57.0;3.0;6.0;7.0;2017.0;53.446985;14.5606519;lut.62;9.0;0.219;0.756;0.609;0.208;0.509;1.738;0.309;condominium;;premium;yes;yes;yes;no;no;2700
szczecin;blockOfFlats;37.0;2.0;2.0;4.0;2023.0;53.3932827;14.4832796;cze.14;0.0;1.884;3.478;0.855;1.809;0.791;4.356;0.838;condominium;;premium;yes;yes;yes;no;no;2300
szczecin;apartmentBuilding;47.9;2.0;;2.0;2024.0;53.49168;14.57978;lip.69;1.0;1.863;0.848;0.569;0.444;0.581;3.225;0.532;condominium;brick;;yes;no;yes;no;yes;2500
szczecin;;42.0;2.0;7.0;10.0;;53.4094466;14.5299221;lut.58;15.0;0.217;0.137;0.229;0.233;0.188;sty.16;0.227;condominium;;;yes;yes;yes;no;no;2500
szczecin;;42.0;2.0;7.0;10.0;;53.4094466;14.5299221;lut.58;15.0;0.217;0.137;0.229;0.233;0.188;sty.16;0.227;condominium;;;yes;yes;yes;no;no;2500
szczecin;blockOfFlats;48.3;3.0;3.0;3.0;1965.0;53.4223479;14.5184308;lut.82;6.0;0.081;0.828;0.979;0.83;0.75;0.916;0.203;condominium;;;no;yes;no;no;no;2000
szczecin;blockOfFlats;32.0;1.0;3.0;9.0;1970.0;53.4293725;14.503727;mar.85;7.0;0.235;0.937;0.329;0.399;0.141;02.lut;0.345;condominium;concreteSlab;premium;no;no;yes;no;no;2000
szczecin;blockOfFlats;39.95;2.0;6.0;6.0;2015.0;53.4133689;14.53287363;lut.17;7.0;0.308;0.61;0.262;0.084;0.023;0.724;0.69;condominium;;premium;no;yes;yes;no;no;2100
szczecin;blockOfFlats;39.0;2.0;6.0;6.0;2015.0;53.4128961;14.5317914;lut.26;7.0;0.221;0.538;0.315;0.153;0.058;0.772;0.608;condominium;;premium;no;yes;yes;no;no;2100
szczecin;apartmentBuilding;43.0;2.0;1.0;3.0;2020.0;53.4037108;14.5267092;mar.15;16.0;0.355;0.539;0.444;0.287;0.156;1.822;0.23;condominium;brick;premium;yes;no;yes;no;yes;2950
szczecin;blockOfFlats;45.8;2.0;1.0;4.0;1967.0;53.455075;14.5474;mar.64;4.0;0.71;0.951;0.238;0.193;0.532;1.797;0.122;condominium;concreteSlab;;no;no;no;no;yes;2000
szczecin;blockOfFlats;57.3;2.0;;4.0;2002.0;53.3960305;14.6633006;lip.43;8.0;0.188;2.046;0.447;0.474;0.292;;0.246;condominium;brick;premium;no;yes;no;no;no;2200
szczecin;tenement;26.0;1.0;4.0;4.0;1930.0;53.43204945;14.54439667;sty.46;80.0;0.393;0.498;0.262;0.373;0.061;0.3;0.093;condominium;brick;premium;yes;no;;no;no;1800
szczecin;blockOfFlats;60.0;3.0;;3.0;2023.0;53.423476;14.481139;maj.29;3.0;0.539;0.774;0.388;0.842;0.266;3.368;0.169;condominium;;;no;yes;yes;no;no;5000
szczecin;tenement;54.0;2.0;3.0;3.0;1950.0;53.4408512;14.528051;lut.92;13.0;0.201;0.41;0.936;0.485;0.174;0.242;0.183;condominium;brick;premium;no;no;no;no;yes;2350
szczecin;blockOfFlats;47.5;2.0;2.0;4.0;1960.0;53.42907672;14.54892826;01.lut;84.0;0.453;0.166;0.307;0.308;0.084;0.362;0.27;condominium;brick;premium;yes;yes;no;no;yes;2300
szczecin;tenement;49.5;2.0;3.0;4.0;1950.0;53.4309565;14.5494724;sty.13;80.0;0.282;0.37;0.284;0.211;0.038;0.432;0.142;condominium;brick;premium;no;no;no;no;yes;2500
szczecin;tenement;81.04;4.0;;4.0;1940.0;53.4490931;14.5168436;04.wrz;0.0;0.509;1.039;0.998;0.676;0.661;1.192;0.668;condominium;brick;premium;no;yes;no;no;yes;3000
szczecin;blockOfFlats;50.0;2.0;2.0;2.0;2009.0;53.4541752;14.4767226;cze.55;4.0;0.329;2.355;0.833;0.823;0.156;3.814;0.119;condominium;brick;premium;no;yes;no;no;no;2500
szczecin;;32.0;1.0;1.0;3.0;;53.4252;14.5526;0.59;64.0;0.305;0.285;0.144;0.128;0.044;0.757;0.093;condominium;;;no;no;no;no;no;2150
szczecin;;51.65;2.0;3.0;4.0;;53.445704;14.5227193;mar.55;1.0;0.59;0.994;0.936;0.954;0.511;0.653;0.499;condominium;;;no;no;;no;no;2200
szczecin;tenement;80.0;3.0;2.0;4.0;1920.0;53.43287621;14.54375267;sty.55;80.0;0.378;0.471;0.327;0.319;0.04;0.341;0.186;condominium;brick;premium;yes;no;;no;no;3000
szczecin;blockOfFlats;44.0;2.0;2.0;3.0;2023.0;53.399625139835;14.494647258645;maj.13;2.0;1.394;2.511;0.298;1.771;0.264;3.324;0.605;condominium;brick;premium;no;yes;yes;no;no;3500
szczecin;blockOfFlats;32.42;1.0;11.0;11.0;2017.0;53.41099;14.5267748;lut.65;14.0;0.194;0.362;0.401;0.129;0.092;1.034;0.32;condominium;brick;premium;yes;no;yes;no;no;2000
szczecin;blockOfFlats;54.0;3.0;2.0;3.0;1937.0;53.4408129;14.5430043;lut.27;18.0;0.33;0.609;0.266;0.395;0.256;0.497;0.265;condominium;brick;premium;no;yes;no;no;yes;3000
szczecin;;31.0;2.0;4.0;4.0;2017.0;53.4348144;14.5375165;02.sty;40.0;0.114;0.179;0.229;0.205;0.064;0.164;0.331;condominium;brick;;no;no;no;no;no;2099
szczecin;apartmentBuilding;58.0;2.0;6.0;8.0;2022.0;53.4037063;14.4851222;maj.48;1.0;1.373;2.317;0.948;1.594;0.27;3.565;0.999;condominium;brick;;no;yes;no;no;no;4500
szczecin;apartmentBuilding;31.0;1.0;4.0;9.0;2018.0;53.4269522;14.5523236;0.7;58.0;0.321;0.242;0.121;0.173;0.062;0.646;0.062;condominium;brick;;no;no;yes;no;no;2300
szczecin;;43.24;2.0;3.0;3.0;;53.4014513;14.5071442;kwi.32;1.0;1.083;1.672;0.721;0.921;0.388;2.609;0.538;condominium;;;no;yes;yes;no;no;2300
szczecin;;52.0;2.0;2.0;2.0;;53.414576042187;14.4935408056291;kwi.57;5.0;0.604;1.054;0.418;0.313;0.032;2.589;0.76;condominium;brick;;no;yes;no;no;no;2600
szczecin;;48.0;2.0;13.0;28.0;;53.4368668;14.5530096;sty.59;35.0;0.194;0.237;0.181;0.165;0.099;0.781;0.231;condominium;;;yes;no;no;yes;no;4200
szczecin;blockOfFlats;57.35;2.0;5.0;5.0;2008.0;53.4308373;14.5419351;sty.51;75.0;0.261;0.582;0.132;0.166;0.043;0.19;0.075;condominium;brick;premium;yes;yes;yes;no;no;2300
szczecin;blockOfFlats;74.0;3.0;2.0;5.0;2010.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;premium;yes;yes;yes;no;no;3000
szczecin;tenement;33.14;2.0;4.0;4.0;1940.0;53.4327647;14.5348102;02.lut;40.0;0.186;0.4;0.08;0.423;0.017;0.42;0.282;condominium;brick;premium;yes;no;;no;no;1890
szczecin;blockOfFlats;30.0;2.0;2.0;3.0;2010.0;53.496195;14.5909595;sie.33;4.0;1.184;1.363;0.404;0.142;0.391;3.817;0.389;condominium;brick;;yes;yes;no;no;no;1700
szczecin;apartmentBuilding;38.0;2.0;3.0;4.0;2023.0;53.4374298282899;14.4948460448106;kwi.65;3.0;0.411;0.921;0.546;0.107;0.531;2.388;0.55;condominium;brick;premium;yes;yes;yes;no;no;2400
